"type","value","source"
"ip","144.172.112.106","public"
"ip","178.125.204.198","public"
"ip","185.109.21.157","public"
"ip","192.121.16.196","public"
"ip","84.200.154.105","public"
"url","http://adamfeibelman.com/wp-admin/network/.clone_asOlB0zY/mParivahan-eTicket.apk","public"
"url","http://amormc.com/index.php?3xmvgr","public"
"url","http://amormc.com/index.php?ndv5f1","public"
"url","http://fashdefi.store:6168/defy/v7","public"
"url","http://raw.githubusercontent.com/sagargupta104/kkos/refs/heads/main/mParivahan.apk","public"
"url","http://tinyurl.com/0lziG","public"
"url","http://tinyurl.com/jjmcw","public"
"url","https://1drv.ms/u/c/F703BC98FAB44D61/ER_XG5FDkURHtsmna8vOQrIBRODKiQBKYJVKnI-kGKwX0A","public"
"url","https://1drv.ms/u/c/F703BC98FAB44D61/ERpeLpJlb7FAkbfyuffpFJYBZ-8u2MmQH6LW5xH86B4M8w","public"
"url","https://1drv.ms/u/c/F703BC98FAB44D61/ESz4UV9JeOhOp8kiWd0Ie10ByH7eUdSRlBy2NCiNeo2LYw","public"
"url","https://1drv.ms/u/c/f9e3b332ce488781/Eap6_fxYFP5Eh1ZKDZaf8lMBjJNcfdba4MVcr4YfKj674w?e=fgNIj4","public"
"url","https://91.220.167.72.host.secureserver.net/peHg4yDUYgzNeAvm5.zip","public"
"url","https://aesthetic-donut-1af43s2.netlify.app/file/rar","public"
"url","https://aesthetic-donut-1af43s2.netlify.app/file/zip","public"
"url","https://alphadogprinting.com/index.php?8jl9lz","public"
"url","https://animated-dango-0fa8c8.netlify.app/file/Taiwan%20Intro.zip","public"
"url","https://api.npoint.io/b964566497d98298d32c","public"
"url","https://api.telegram.org/bot6751695148:AAHEYUWDN0BKvpvSycVHp_2kcXPhfeZk75o","public"
"url","https://api.telegram.org/bot7756409072:AAFQGOT0vQ5gcV1wa2BnTEDsl6KJSBog18w","public"
"url","https://app-site-association.cdn-apple.info:443/updates.rss","public"
"url","https://aquamarine-choux-46cb43.netlify.app/file/rar","public"
"url","https://aquamarine-choux-46cb43.netlify.app/file/zip","public"
"url","https://aquamarine-choux-46cb43.netlify.app/index/file/[PDF]202507_Please_check_the_document.zip","public"
"url","https://bit.ly/49mKne9","public"
"url","https://bit.ly/4gf4E7H","public"
"url","https://blutrecheshetrubler.highbourg.my.id/win/index.php","public"
"url","https://chubagledivepreli.highbourg.my.id/win/index.php?","public"
"url","https://cutlink.now/ChaIIan-82","public"
"url","https://dainty-licorice-db2b1e.netlify.app/file/zip","public"
"url","https://deprivy.stified.sbs/proc.php","public"
"url","https://dukublavuprotutuv.highbourg.my.id/win/index.php","public"
"url","https://dulcet-mooncake-36558c.netlify.app/file/zip","public"
"url","https://explore-delhi.github.io/Application/mParivahan.apk","public"
"url","https://fashionablyemployed.com/mParivahan.apk","public"
"url","https://github.com/Config2023/01atk-83567z","public"
"url","https://github.com/Gramme-veichle/Check/raw/refs/heads/main/mParivahan.apk","public"
"url","https://github.com/Gramme-veichle/Veichle-67/raw/refs/heads/main/mParivahan.apk","public"
"url","https://github.com/S20x/m25","public"
"url","https://github.com/Tami1010/base","public"
"url","https://github.com/balancinho1/balaco","public"
"url","https://github.com/dridex2024/razeronline","public"
"url","https://github.com/fernandolopes201/675878fvfsv2231im2","public"
"url","https://github.com/harshxcmf-dev/V1/releases/download/V1/NextGen_mparivahan.apk","public"
"url","https://github.com/polarbearfish/fishbom","public"
"url","https://github.com/polarbearultra/amendointorrado","public"
"url","https://github.com/projetonovo52/master","public"
"url","https://github.com/vaicurintha/gol","public"
"url","https://harmonious-malabi-a8ebfa.netlify.app/file/Taiwan%20Intro.rar","public"
"url","https://hllowrodcanlhelipme.netlify.app/file/zip","public"
"url","https://ip-check-server.vercel.app/api/ip-check/208","public"
"url","https://jazzy-biscotti-68241f.netlify.app/files/Intro-Doc.rar","public"
"url","https://jeuduc-c3310-default-rtdb.firebaseio.com","public"
"url","https://klinikadentalclinic.ae/wp-content/themes/pridmag/mParivahan.apk","public"
"url","https://ln5.sync.com/4.0/dl/100016f90#3d5wrb4z-hfb4iz3m-qmjzsqnq-39rn3vjv","public"
"url","https://log-server-lovat.vercel.app/api/ipcheck/703","public"
"url","https://loveusa.netlify.app/file/rar","public"
"url","https://my.toruftuiov.com/9397b37a-50c4-48c0-899d-f5e87a24088d","public"
"url","https://nasubutrachat.highbourg.my.id/win/index.php?","public"
"url","https://process-log.vercel.app/api/ipcheck","public"
"url","https://pulicwordfiledownlos.netlify.app/file/rar","public"
"url","https://raw.githubusercontent.com/Anb1212312/thu/refs/heads/main/Mparivahan.apk","public"
"url","https://raw.githubusercontent.com/ChaIIan-94/ChaIIan-68/refs/heads/main/mParivahan.apk","public"
"url","https://raw.githubusercontent.com/Gramme-veichle/Veichle-67/refs/heads/main/mParivahan.apk","public"
"url","https://raw.githubusercontent.com/Lhasa1223/10-09-FINAL-mParivahan-/refs/heads/main/mParivahan.apk","public"
"url","https://raw.githubusercontent.com/Roni78555/alpha111/refs/heads/main/Mparivahan.apk","public"
"url","https://raw.githubusercontent.com/a75892701-cmd/ALPHJA1111/refs/heads/main/mparivahan.apk","public"
"url","https://raw.githubusercontent.com/a75892701-cmd/badabadaboor/refs/heads/main/mparivahan.apk","public"
"url","https://raw.githubusercontent.com/alpha5681/besa/refs/heads/main/mParivahan.apk","public"
"url","https://raw.githubusercontent.com/aman77383/2/refs/heads/main/mParivahan.apk","public"
"url","https://raw.githubusercontent.com/chutmarike0987/Bhangbhosda/refs/heads/main/Mparivahan.apk","public"
"url","https://raw.githubusercontent.com/dridex2024/razeronline/refs/heads/main/razerlimpa.png","public"
"url","https://raw.githubusercontent.com/vehichle-97/Check-your/refs/heads/main/mParivahan.apk","public"
"url","https://shilebatablurap.highbourg.my.id/win/index.php?","public"
"url","https://shorturl.at/YDFSq","public"
"url","https://skincareanti-aging.com/mParivahan.apk","public"
"url","https://spontaneous-selkie-d3346f.netlify.app/file/zip","public"
"url","https://statuesque-unicorn-09420f.netlify.app/r","public"
"url","https://subtle-klepon-d73b9b.netlify.app/file/rar","public"
"url","https://subtle-klepon-d73b9b.netlify.app/file/zip","public"
"url","https://tinyurl.com/E-ChallanRTO","public"
"url","https://tinyurl.com/Echallan2025","public"
"url","https://tinyurl.com/Hxmveo","public"
"url","https://tinyurl.com/Paychallankl08","public"
"url","https://tinyurl.com/Payfineonline08","public"
"url","https://tinyurl.com/Tap-Here-For-Challan","public"
"url","https://tinyurl.com/mseva7","public"
"url","https://tinyurl.com/payEchallanOnline","public"
"url","https://tinyurl.com/payEchallankl08","public"
"url","https://vocal-crostata-86ebbf.netlify.app/files/zip","public"
"url","https://www.x3mgolf.dk/wp-admin/network/.clone_SgLT9buH/mParivahan.apk","public"
"url","https://yxbu02.short.gy/Govt-Check-challan","public"
"url","https://yxbu02.short.gy/paychallan","public"
"url","wss://api.twmoc.info/ws","public"
"url","wss://onedrive.azure-app.store/ws","public"
"url","wss://outlook.windows-app.store/ws","public"
"hash_sha256","010F76B21251EB5D8BC77BCFDB47D5F13009AA985E744B843FC2E35B23FB2A44","public"
"hash_sha256","01222C6C2DBB021275688B0965E72183876B7ADB5363342D7AC49DF6C3E36EBE","public"
"hash_sha256","015E424DC798BC4EF39F5237062D2402F5207FBF912A22CE6FB46EF9E42FD6CA","public"
"hash_sha256","0414217624404930137EC8F6A26AEBD8A3605FE089DBFB9F5AAAA37A9E2BAD2E","public"
